"Supercluster"	"Number of reads"	"Automatic_annotation"	"Similarity_hits"	"TAREAN_annotation"	"Clusters"
11	9191	"Angela"	"                                                | nhits | proportion |                                                                 features
-----------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 999   | 0.11       |                                                                         
 '--repeat                                      | 999   | 0.11       |                                                                         
     '--mobile_element                          | 999   | 0.11       |                                                                         
         '--Class_I                             | 999   | 0.11       |                                                                         
             '--LTR                             | 999   | 0.11       | LTR/PBS                                                                 
                 '--Ty1_copia                   | 999   | 0.11       |                                                                         
                     |--Ale                     | 1     | 0.00011    | 1 (Ty1-RT),                                                             
                     |--Angela                  | 996   | 0.11       | 60 (Ty1-GAG), 247 (Ty1-INT), 69 (Ty1-PROT), 178 (Ty1-RH), 442 (Ty1-RT), 
                     '--Ivana                   | 2     | 0.00022    | 2 (Ty1-RH),                                                             "	NA	"59,46"
12	8095	"SIRE"	"                                                | nhits | proportion |                                                                  features
------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1449  | 0.18       |                                                                          
 '--repeat                                      | 1449  | 0.18       |                                                                          
     '--mobile_element                          | 1449  | 0.18       |                                                                          
         '--Class_I                             | 1449  | 0.18       |                                                                          
             '--LTR                             | 1449  | 0.18       | LTR/PBS                                                                  
                 '--Ty1_copia                   | 1449  | 0.18       |                                                                          
                     |--Ale                     | 2     | 0.00025    | 1 (Ty1-INT), 1 (Ty1-RT),                                                 
                     |--Gymco-II                | 3     | 0.00037    | 3 (Ty1-RT),                                                              
                     |--Ikeros                  | 1     | 0.00012    | 1 (Ty1-RH),                                                              
                     |--Ivana                   | 58    | 0.0072     | 9 (Ty1-GAG), 1 (Ty1-INT), 48 (Ty1-RH),                                   
                     |--SIRE                    | 1381  | 0.17       | 145 (Ty1-GAG), 303 (Ty1-INT), 88 (Ty1-PROT), 262 (Ty1-RH), 583 (Ty1-RT), 
                     '--TAR                     | 4     | 0.00049    | 4 (Ty1-INT),                                                             "	NA	"164,33"
13	8032	"Bianca"	"                                                | nhits | proportion |                                  features
----------------------------------------------------------------------------------------------------------------
All                                             | 193   | 0.024      |                                          
 '--repeat                                      | 193   | 0.024      |                                          
     '--mobile_element                          | 193   | 0.024      |                                          
         '--Class_I                             | 193   | 0.024      |                                          
             '--LTR                             | 193   | 0.024      |                                          
                 '--Ty1_copia                   | 193   | 0.024      |                                          
                     '--Bianca                  | 193   | 0.024      | 103 (Ty1-GAG), 22 (Ty1-RH), 68 (Ty1-RT), "	NA	"32"
14	8020	"SIRE"	"                                                | nhits | proportion |                                                                  features
------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1505  | 0.19       |                                                                          
 '--repeat                                      | 1505  | 0.19       |                                                                          
     '--mobile_element                          | 1505  | 0.19       |                                                                          
         '--Class_I                             | 1505  | 0.19       |                                                                          
             '--LTR                             | 1505  | 0.19       | LTR/PBS                                                                  
                 |--Ty1_copia                   | 1504  | 0.19       |                                                                          
                 |   |--Ale                     | 5     | 0.00062    | 1 (Ty1-RH), 4 (Ty1-RT),                                                  
                 |   |--Ikeros                  | 3     | 0.00037    | 3 (Ty1-RH),                                                              
                 |   |--Ivana                   | 70    | 0.0087     | 13 (Ty1-GAG), 25 (Ty1-INT), 32 (Ty1-RH),                                 
                 |   |--Gymco-IV                | 1     | 0.00012    | 1 (Ty1-INT),                                                             
                 |   |--SIRE                    | 1408  | 0.18       | 71 (Ty1-GAG), 419 (Ty1-INT), 118 (Ty1-PROT), 220 (Ty1-RH), 580 (Ty1-RT), 
                 |   '--Tork                    | 17    | 0.0021     | 17 (Ty1-INT),                                                            
                 '--Ty3_gypsy                   | 1     | 0.00012    |                                                                          
                     '--chromovirus             | 1     | 0.00012    |                                                                          
                         '--Reina               | 1     | 0.00012    | 1 (Ty3-RT),                                                              "	NA	"65,138,218,58,107"
15	7640	"Helitron"	"                                                | nhits | proportion |               features
---------------------------------------------------------------------------------------------
All                                             | 297   | 0.039      |                       
 |--organelle                                   | 8     | 0.001      |                       
 |   |--plastid                                 | 7     | 0.00092    |                       
 |   '--mitochondria                            | 1     | 0.00013    |                       
 '--repeat                                      | 289   | 0.038      |                       
     '--mobile_element                          | 289   | 0.038      |                       
         '--Class_II                            | 289   | 0.038      |                       
             |--Subclass_1                      | 23    | 0.003      |                       
             |   '--TIR                         | 23    | 0.003      |                       
             |       '--PIF_Harbinger           | 23    | 0.003      | 23 (Harbinger-TPase), 
             '--Subclass_2                      | 266   | 0.035      |                       
                 '--Helitron                    | 266   | 0.035      | 266 (Helitron-HEL2),  "	NA	"80,40"
16	6586	"Tork"	"                                                | nhits | proportion |                                                                   features
-------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1400  | 0.21       |                                                                           
 |--organelle                                   | 1     | 0.00015    |                                                                           
 |   '--mitochondria                            | 1     | 0.00015    |                                                                           
 '--repeat                                      | 1399  | 0.21       |                                                                           
     '--mobile_element                          | 1399  | 0.21       |                                                                           
         '--Class_I                             | 1399  | 0.21       |                                                                           
             '--LTR                             | 1399  | 0.21       | LTR/PBS                                                                   
                 |--Ty1_copia                   | 1397  | 0.21       |                                                                           
                 |   |--Ale                     | 3     | 0.00046    | 2 (Ty1-PROT), 1 (Ty1-RT),                                                 
                 |   |--Ivana                   | 2     | 3e-04      | 1 (Ty1-PROT), 1 (Ty1-RH),                                                 
                 |   |--SIRE                    | 2     | 3e-04      | 2 (Ty1-INT),                                                              
                 |   '--Tork                    | 1390  | 0.21       | 200 (Ty1-GAG), 301 (Ty1-INT), 336 (Ty1-PROT), 173 (Ty1-RH), 380 (Ty1-RT), 
                 '--Ty3_gypsy                   | 2     | 3e-04      |                                                                           
                     '--chromovirus             | 2     | 3e-04      |                                                                           
                         '--Tekay               | 2     | 3e-04      | 2 (Ty3-INT),                                                              "	NA	"35"
17	6066	"TAR"	"                                                | nhits | proportion |                                                                   features
-------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1573  | 0.26       |                                                                           
 |--organelle                                   | 4     | 0.00066    |                                                                           
 |   '--mitochondria                            | 4     | 0.00066    |                                                                           
 '--repeat                                      | 1569  | 0.26       |                                                                           
     '--mobile_element                          | 1569  | 0.26       |                                                                           
         '--Class_I                             | 1569  | 0.26       |                                                                           
             '--LTR                             | 1569  | 0.26       |                                                                           
                 '--Ty1_copia                   | 1569  | 0.26       |                                                                           
                     |--Ale                     | 1     | 0.00016    | 1 (Ty1-INT),                                                              
                     |--Ikeros                  | 5     | 0.00082    | 5 (Ty1-RT),                                                               
                     |--Ivana                   | 1     | 0.00016    | 1 (Ty1-RH),                                                               
                     |--TAR                     | 1561  | 0.26       | 144 (Ty1-GAG), 458 (Ty1-INT), 165 (Ty1-PROT), 312 (Ty1-RH), 482 (Ty1-RT), 
                     '--Tork                    | 1     | 0.00016    | 1 (Ty1-PROT),                                                             "	NA	"38"
18	5797	"NA"	"                                                | nhits | proportion |          features
----------------------------------------------------------------------------------------
All                                             | 55    | 0.0095     |                  
 '--repeat                                      | 55    | 0.0095     |                  
     '--mobile_element                          | 55    | 0.0095     |                  
         '--Class_II                            | 55    | 0.0095     |                  
             '--Subclass_1                      | 55    | 0.0095     |                  
                 '--TIR                         | 55    | 0.0095     |                  
                     '--MuDR_Mutator            | 55    | 0.0095     | 55 (MuDR-TPase), "	NA	"43"
19	5481	"Helitron"	"                                                | nhits | proportion |              features
--------------------------------------------------------------------------------------------
All                                             | 780   | 0.14       |                      
 |--organelle                                   | 2     | 0.00036    |                      
 |   '--plastid                                 | 2     | 0.00036    |                      
 '--repeat                                      | 778   | 0.14       |                      
     '--mobile_element                          | 778   | 0.14       |                      
         '--Class_II                            | 778   | 0.14       |                      
             '--Subclass_2                      | 778   | 0.14       |                      
                 '--Helitron                    | 778   | 0.14       | 778 (Helitron-HEL2), "	NA	"45"
20	5235	"Tork"	"                                                | nhits | proportion |                                                                   features
-------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1595  | 0.3        |                                                                           
 |--organelle                                   | 58    | 0.011      |                                                                           
 |   '--mitochondria                            | 58    | 0.011      |                                                                           
 '--repeat                                      | 1537  | 0.29       |                                                                           
     '--mobile_element                          | 1537  | 0.29       |                                                                           
         '--Class_I                             | 1537  | 0.29       |                                                                           
             |--LTR                             | 1536  | 0.29       |                                                                           
             |   '--Ty1_copia                   | 1536  | 0.29       |                                                                           
             |       |--Ale                     | 1     | 0.00019    | 1 (Ty1-RH),                                                               
             |       |--Alesia                  | 1     | 0.00019    | 1 (Ty1-RH),                                                               
             |       |--Angela                  | 1     | 0.00019    | 1 (Ty1-INT),                                                              
             |       |--Ivana                   | 6     | 0.0012     | 6 (Ty1-RH),                                                               
             |       |--SIRE                    | 1     | 0.00019    | 1 (Ty1-RT),                                                               
             |       |--TAR                     | 1     | 0.00019    | 1 (Ty1-PROT),                                                             
             |       '--Tork                    | 1525  | 0.29       | 238 (Ty1-GAG), 407 (Ty1-INT), 178 (Ty1-PROT), 226 (Ty1-RH), 476 (Ty1-RT), 
             '--LINE                            | 1     | 0.00019    | 1 (LINE-RT),                                                              "	NA	"47"
21	4252	"MuDR_Mutator"	"                                                | nhits | proportion |           features
-----------------------------------------------------------------------------------------
All                                             | 111   | 0.026      |                   
 '--repeat                                      | 111   | 0.026      |                   
     '--mobile_element                          | 111   | 0.026      |                   
         '--Class_II                            | 111   | 0.026      |                   
             '--Subclass_1                      | 111   | 0.026      |                   
                 '--TIR                         | 111   | 0.026      |                   
                     '--MuDR_Mutator            | 111   | 0.026      | 111 (MuDR-TPase), "	NA	"55"
22	4077	"Retand"	"                                                | nhits | proportion |                                                   features
---------------------------------------------------------------------------------------------------------------------------------
All                                             | 2217  | 0.54       |                                                           
 '--repeat                                      | 2217  | 0.54       |                                                           
     '--mobile_element                          | 2217  | 0.54       |                                                           
         '--Class_I                             | 2217  | 0.54       |                                                           
             '--LTR                             | 2217  | 0.54       |                                                           
                 '--Ty3_gypsy                   | 2217  | 0.54       |                                                           
                     |--non-chromovirus         | 2213  | 0.54       |                                                           
                     |   '--OTA                 | 2213  | 0.54       |                                                           
                     |       |--Athila          | 11    | 0.0027     | 8 (Ty3-INT), 3 (Ty3-RT),                                  
                     |       '--Tat             | 2202  | 0.54       |                                                           
                     |           |--TatIII      | 1     | 0.00024    | 1 (Ty3-INT),                                              
                     |           |--Ogre        | 74    | 0.018      | 42 (Ty3-INT), 6 (Ty3-RH), 17 (Ty3-RT), 9 (Ty3-aRH),       
                     |           '--Retand      | 2127  | 0.52       | 892 (Ty3-INT), 449 (Ty3-RH), 488 (Ty3-RT), 298 (Ty3-aRH), 
                     '--chromovirus             | 4     | 0.00098    |                                                           
                         '--Reina               | 4     | 0.00098    | 1 (Ty3-INT), 3 (Ty3-RT),                                  "	NA	"56"
23	3549	"Tork"	"                                                | nhits | proportion |                                                                   features
-------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1237  | 0.35       |                                                                           
 |--organelle                                   | 6     | 0.0017     |                                                                           
 |   '--mitochondria                            | 6     | 0.0017     |                                                                           
 '--repeat                                      | 1231  | 0.35       |                                                                           
     '--mobile_element                          | 1231  | 0.35       |                                                                           
         '--Class_I                             | 1231  | 0.35       |                                                                           
             '--LTR                             | 1231  | 0.35       |                                                                           
                 '--Ty1_copia                   | 1231  | 0.35       |                                                                           
                     |--Ale                     | 29    | 0.0082     | 4 (Ty1-INT), 25 (Ty1-RT),                                                 
                     |--Angela                  | 3     | 0.00084    | 2 (Ty1-INT), 1 (Ty1-RT),                                                  
                     |--Bryco                   | 2     | 0.00056    | 2 (Ty1-INT),                                                              
                     |--Ikeros                  | 16    | 0.0045     | 16 (Ty1-RT),                                                              
                     |--Ivana                   | 1     | 0.00028    | 1 (Ty1-RH),                                                               
                     |--SIRE                    | 7     | 0.002      | 1 (Ty1-RH), 6 (Ty1-RT),                                                   
                     '--Tork                    | 1173  | 0.33       | 116 (Ty1-GAG), 329 (Ty1-INT), 137 (Ty1-PROT), 202 (Ty1-RH), 389 (Ty1-RT), "	NA	"61"
24	3212	"TAR"	"                                                | nhits | proportion |                                                                  features
------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1020  | 0.32       |                                                                          
 |--organelle                                   | 73    | 0.023      |                                                                          
 |   '--mitochondria                            | 73    | 0.023      |                                                                          
 '--repeat                                      | 947   | 0.29       |                                                                          
     '--mobile_element                          | 947   | 0.29       |                                                                          
         '--Class_I                             | 947   | 0.29       |                                                                          
             '--LTR                             | 947   | 0.29       |                                                                          
                 '--Ty1_copia                   | 947   | 0.29       |                                                                          
                     |--Ivana                   | 3     | 0.00093    | 3 (Ty1-RH),                                                              
                     '--TAR                     | 944   | 0.29       | 124 (Ty1-GAG), 259 (Ty1-INT), 77 (Ty1-PROT), 147 (Ty1-RH), 337 (Ty1-RT), "	NA	"62"
25	2987	"5S_rDNA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 867   | 0.29       |         
 '--repeat                                      | 867   | 0.29       |         
     '--rDNA                                    | 867   | 0.29       |         
         '--5S_rDNA                             | 867   | 0.29       |         "	NA	"67"
26	2686	"LTR"	"                                                | nhits | proportion |                     features
---------------------------------------------------------------------------------------------------
All                                             | 64    | 0.024      |                             
 '--repeat                                      | 64    | 0.024      |                             
     '--mobile_element                          | 64    | 0.024      |                             
         '--Class_I                             | 64    | 0.024      |                             
             '--LTR                             | 64    | 0.024      | LTR/PBS                     
                 '--Ty3_gypsy                   | 64    | 0.024      |                             
                     '--non-chromovirus         | 64    | 0.024      |                             
                         '--OTA                 | 64    | 0.024      |                             
                             |--Athila          | 2     | 0.00074    | 2 (Ty3-GAG),                
                             '--Tat             | 62    | 0.023      |                             
                                 |--Ogre        | 1     | 0.00037    | 1 (Ty3-GAG),                
                                 '--Retand      | 61    | 0.023      | 59 (Ty3-GAG), 2 (Ty3-PROT), "	NA	"69"
27	2205	"Tork"	"                                                | nhits | proportion |                                                                 features
-----------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 958   | 0.43       |                                                                         
 '--repeat                                      | 958   | 0.43       |                                                                         
     '--mobile_element                          | 958   | 0.43       |                                                                         
         '--Class_I                             | 958   | 0.43       |                                                                         
             '--LTR                             | 958   | 0.43       |                                                                         
                 '--Ty1_copia                   | 958   | 0.43       |                                                                         
                     |--Ale                     | 29    | 0.013      | 4 (Ty1-INT), 25 (Ty1-RT),                                               
                     |--Angela                  | 1     | 0.00045    | 1 (Ty1-INT),                                                            
                     |--Bryco                   | 3     | 0.0014     | 3 (Ty1-INT),                                                            
                     |--Ikeros                  | 8     | 0.0036     | 8 (Ty1-RT),                                                             
                     |--Ivana                   | 7     | 0.0032     | 4 (Ty1-PROT), 3 (Ty1-RT),                                               
                     |--SIRE                    | 1     | 0.00045    | 1 (Ty1-RH),                                                             
                     |--TAR                     | 12    | 0.0054     | 4 (Ty1-PROT), 8 (Ty1-RT),                                               
                     |--Tork                    | 893   | 0.4        | 89 (Ty1-GAG), 230 (Ty1-INT), 79 (Ty1-PROT), 182 (Ty1-RH), 313 (Ty1-RT), 
                     '--Ty1-outgroup            | 4     | 0.0018     | 4 (Ty1-INT),                                                            "	NA	"196,72"
28	2099	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.00048    |         
 '--organelle                                   | 1     | 0.00048    |         
     '--plastid                                 | 1     | 0.00048    |         "	NA	"131,77"
29	2071	"MuDR_Mutator"	"                                                | nhits | proportion |           features
-----------------------------------------------------------------------------------------
All                                             | 136   | 0.066      |                   
 '--repeat                                      | 136   | 0.066      |                   
     '--mobile_element                          | 136   | 0.066      |                   
         '--Class_II                            | 136   | 0.066      |                   
             '--Subclass_1                      | 136   | 0.066      |                   
                 '--TIR                         | 136   | 0.066      |                   
                     '--MuDR_Mutator            | 136   | 0.066      | 136 (MuDR-TPase), "	NA	"129,233,82"
